expression,reading,romaji,meaningKo,partOfSpeech,level
明日,あした,ashita,내일,명사,N5
昨日,きのう,kinou,어제,명사,N5
朝,あさ,asa,아침,명사,N5
昼,ひる,hiru,낮,명사,N5
夜,よる,yoru,밤,명사,N5
時間,じかん,jikan,시간,명사,N5
分,ふん,fun,분,명사,N5
春,はる,haru,봄,명사,N5
夏,なつ,natsu,여름,명사,N5
秋,あき,aki,가을,명사,N5
冬,ふゆ,fuyu,겨울,명사,N5
月,つき,tsuki,달 월,명사,N5
星,ほし,hoshi,별,명사,N5
日,ひ,hi,날 해,명사,N5
週,しゅう,shuu,주,명사,N5
行く,いく,iku,가다,동사,N5
来る,くる,kuru,오다,동사,N5
帰る,かえる,kaeru,돌아가다,동사,N5
食べる,たべる,taberu,먹다,동사,N5
飲む,のむ,nomu,마시다,동사,N5
見る,みる,miru,보다,동사,N5
聞く,きく,kiku,듣다 묻다,동사,N5
話す,はなす,hanasu,말하다,동사,N5
読む,よむ,yomu,읽다,동사,N5
書く,かく,kaku,쓰다,동사,N5
買う,かう,kau,사다,동사,N5
売る,うる,uru,팔다,동사,N5
使う,つかう,tsukau,사용하다,동사,N5
作る,つくる,tsukuru,만들다,동사,N5
開ける,あける,akeru,열다,동사,N5
閉める,しめる,shimeru,닫다,동사,N5
起きる,おきる,okiru,일어나다,동사,N5
寝る,ねる,neru,자다,동사,N5
座る,すわる,suwaru,앉다,동사,N5
立つ,たつ,tatsu,서다,동사,N5
走る,はしる,hashiru,달리다,동사,N5
歩く,あるく,aruku,걷다,동사,N5
泳ぐ,およぐ,oyogu,수영하다,동사,N5
大きい,おおきい,ookii,크다,형용사,N5
小さい,ちいさい,chiisai,작다,형용사,N5
長い,ながい,nagai,길다,형용사,N5
短い,みじかい,mijikai,짧다,형용사,N5
高い,たかい,takai,높다 비싸다,형용사,N5
低い,ひくい,hikui,낮다,형용사,N5
広い,ひろい,hiroi,넓다,형용사,N5
狭い,せまい,semai,좁다,형용사,N5
多い,おおい,ooi,많다,형용사,N5
少ない,すくない,sukunai,적다,형용사,N5
新しい,あたらしい,atarashii,새롭다,형용사,N5
古い,ふるい,furui,오래되다,형용사,N5
良い,いい,ii,좋다,형용사,N5
悪い,わるい,warui,나쁘다,형용사,N5
暑い,あつい,atsui,덥다,형용사,N5
寒い,さむい,samui,춥다,형용사,N5
暖かい,あたたかい,atatakai,따뜻하다,형용사,N5
涼しい,すずしい,suzushii,시원하다,형용사,N5
忙しい,いそがしい,isogashii,바쁘다,형용사,N5
楽しい,たのしい,tanoshii,즐겁다,형용사,N5
難しい,むずかしい,muzukashii,어렵다,형용사,N5
易しい,やさしい,yasashii,쉽다,형용사,N5
美しい,うつくしい,utsukushii,아름답다,형용사,N5
かわいい,かわいい,kawaii,귀엽다,형용사,N5
好き,すき,suki,좋아하다,な형용사,N5
嫌い,きらい,kirai,싫어하다,な형용사,N5
上手,じょうず,jouzu,잘하다,な형용사,N5
下手,へた,heta,못하다,な형용사,N5
静か,しずか,shizuka,조용하다,な형용사,N5
賑やか,にぎやか,nigiyaka,시끌벅적하다,な형용사,N5
便利,べんり,benri,편리하다,な형용사,N5
不便,ふべん,fuben,불편하다,な형용사,N5
元気,げんき,genki,건강하다 활기차다,な형용사,N5
大丈夫,だいじょうぶ,daijoubu,괜찮다,な형용사,N5
日本語,にほんご,nihongo,일본어,명사,N5
英語,えいご,eigo,영어,명사,N5
何,なに,nani,무엇,의문사,N5
誰,だれ,dare,누구,의문사,N5
どこ,どこ,doko,어디,의문사,N5
いつ,いつ,itsu,언제,의문사,N5
どれ,どれ,dore,어느 것,의문사,N5
いくら,いくら,ikura,얼마,의문사,N5
どうして,どうして,doushite,왜,의문사,N5
どんな,どんな,donna,어떤,의문사,N5
ここ,ここ,koko,여기,지시어,N5
そこ,そこ,soko,거기,지시어,N5
あそこ,あそこ,asoko,저기,지시어,N5
これ,これ,kore,이것,지시어,N5
それ,それ,sore,그것,지시어,N5
あれ,あれ,are,저것,지시어,N5
この,この,kono,이,지시어,N5
その,その,sono,그,지시어,N5
あの,あの,ano,저,지시어,N5
一,いち,ichi,1 하나,수사,N5
二,に,ni,2 둘,수사,N5
三,さん,san,3 셋,수사,N5
四,し/よん,shi/yon,4 넷,수사,N5
五,ご,go,5 다섯,수사,N5
六,ろく,roku,6 여섯,수사,N5
七,しち/なな,shichi/nana,7 일곱,수사,N5
八,はち,hachi,8 여덟,수사,N5
九,きゅう/く,kyuu/ku,9 아홉,수사,N5
十,じゅう,juu,10 열,수사,N5
百,ひゃく,hyaku,100 백,수사,N5
千,せん,sen,1000 천,수사,N5
万,まん,man,10000 만,수사,N5
右,みぎ,migi,오른쪽,명사,N5
左,ひだり,hidari,왼쪽,명사,N5
上,うえ,ue,위,명사,N5
下,した,shita,아래,명사,N5
前,まえ,mae,앞,명사,N5
後ろ,うしろ,ushiro,뒤,명사,N5
中,なか,naka,안 가운데,명사,N5
外,そと,soto,밖,명사,N5
隣,となり,tonari,옆 이웃,명사,N5
近く,ちかく,chikaku,근처,명사,N5
遠く,とおく,tooku,먼 곳,명사,N5
国,くに,kuni,나라,명사,N5
町,まち,machi,마을 도시,명사,N5
村,むら,mura,마을 촌,명사,N5
東,ひがし,higashi,동쪽,명사,N5
西,にし,nishi,서쪽,명사,N5
南,みなみ,minami,남쪽,명사,N5
北,きた,kita,북쪽,명사,N5
赤,あか,aka,빨간색,명사,N5
青,あお,ao,파란색,명사,N5
白,しろ,shiro,흛색,명사,N5
黒,くろ,kuro,검정색,명사,N5
黄色,きいろ,kiiro,노란색,명사,N5
緑,みどり,midori,초록색,명사,N5
写真,しゃしん,shashin,사진,명사,N5
映画,えいが,eiga,영화,명사,N5
音楽,おんがく,ongaku,음악,명사,N5
スポーツ,すぽーつ,supootsu,스포츠,명사,N5
旅行,りょこう,ryokou,여행,명사,N5
仕事,しごと,shigoto,일 직업,명사,N5
勉強,べんきょう,benkyou,공부,명사,N5
授業,じゅぎょう,jugyou,수업,명사,N5
試験,しけん,shiken,시험,명사,N5
宿題,しゅくだい,shukudai,숙제,명사,N5
言葉,ことば,kotoba,말 언어,명사,N5
文字,もじ,moji,문자,명사,N5
漢字,かんじ,kanji,한자,명사,N5
地図,ちず,chizu,지도,명사,N5
天気,てんき,tenki,날씨,명사,N5
雪,ゆき,yuki,눈,명사,N5
風,かぜ,kaze,바람,명사,N5
雲,くも,kumo,구름,명사,N5
体,からだ,karada,몸 신체,명사,N5
頭,あたま,atama,머리,명사,N5
顔,かお,kao,얼굴,명사,N5
目,め,me,눈 (신체),명사,N5
耳,みみ,mimi,귀,명사,N5
口,くち,kuchi,입,명사,N5
手,て,te,손,명사,N5
足,あし,ashi,발 다리,명사,N5
心,こころ,kokoro,마음,명사,N5
声,こえ,koe,목소리,명사,N5
病気,びょうき,byouki,병,명사,N5
薬,くすり,kusuri,약,명사,N5
医者,いしゃ,isha,의사,명사,N5
料理,りょうり,ryouri,요리,명사,N5
洗う,あらう,arau,씻다,동사,N5
切る,きる,kiru,자르다,동사,N5
借りる,かりる,kariru,빌리다,동사,N5
貸す,かす,kasu,빌려주다,동사,N5
入る,はいる,hairu,들어가다,동사,N5
出る,でる,deru,나오다,동사,N5
待つ,まつ,matsu,기다리다,동사,N5
会う,あう,au,만나다,동사,N5
知る,しる,shiru,알다,동사,N5
分かる,わかる,wakaru,이해하다,동사,N5
思う,おもう,omou,생각하다,동사,N5
言う,いう,iu,말하다,동사,N5
聞こえる,きこえる,kikoeru,들리다,동사,N5
見える,みえる,mieru,보이다,동사,N5
住む,すむ,sumu,살다 거주하다,동사,N5
働く,はたらく,hataraku,일하다,동사,N5
休む,やすむ,yasumu,쉬다,동사,N5
遊ぶ,あそぶ,asobu,놀다,동사,N5
泣く,なく,naku,울다,동사,N5
笑う,わらう,warau,웃다,동사,N5
急ぐ,いそぐ,isogu,서두르다,동사,N5
困る,こまる,komaru,곤란하다,동사,N5
忘れる,わすれる,wasureru,잊다,동사,N5
覚える,おぼえる,oboeru,기억하다 외우다,동사,N5
教える,おしえる,oshieru,가르치다,동사,N5
習う,ならう,narau,배우다,동사,N5
手伝う,てつだう,tetsudau,돕다,동사,N5
送る,おくる,okuru,보내다,동사,N5
受ける,うける,ukeru,받다,동사,N5
始める,はじめる,hajimeru,시작하다,동사,N5
終わる,おわる,owaru,끝나다,동사,N5
続ける,つづける,tsuzukeru,계속하다,동사,N5
止まる,とまる,tomaru,멈추다,동사,N5
変える,かえる,kaeru,바꾸다,동사,N5
入れる,いれる,ireru,넣다,동사,N5
出す,だす,dasu,꺼내다,동사,N5
持つ,もつ,motsu,가지다 들다,동사,N5
置く,おく,oku,두다 놓다,동사,N5
取る,とる,toru,잡다 가져가다,동사,N5
要る,いる,iru,필요하다,동사,N5
有る,ある,aru,있다 (사물),동사,N5
居る,いる,iru,있다 (사람/동물),동사,N5
なる,なる,naru,되다,동사,N5
する,する,suru,하다,동사,N5
来週,らいしゅう,raishuu,다음 주,명사,N5
先週,せんしゅう,senshuu,지난 주,명사,N5
来月,らいげつ,raigetsu,다음 달,명사,N5
先月,せんげつ,sengetsu,지난 달,명사,N5
来年,らいねん,rainen,내년,명사,N5
去年,きょねん,kyonen,작년,명사,N5
今,いま,ima,지금,부사,N5
もう,もう,mou,이미 벌써,부사,N5
まだ,まだ,mada,아직,부사,N5
また,また,mata,또 다시,부사,N5
もっと,もっと,motto,더,부사,N5
たくさん,たくさん,takusan,많이,부사,N5
少し,すこし,sukoshi,조금,부사,N5
全部,ぜんぶ,zenbu,전부,부사,N5
一緒に,いっしょに,issho ni,함께,부사,N5
一人で,ひとりで,hitori de,혼자서,부사,N5
ゆっくり,ゆっくり,yukkuri,천천히,부사,N5
早く,はやく,hayaku,빨리,부사,N5
正しい,ただしい,tadashii,올바르다,형용사,N5
同じ,おなじ,onaji,같다,형용사,N5
違う,ちがう,chigau,다르다 틀리다,동사,N5
重い,おもい,omoi,무겁다,형용사,N5
軽い,かるい,karui,가볍다,형용사,N5
熱い,あつい,atsui,뜨겁다,형용사,N5
冷たい,つめたい,tsumetai,차갑다,형용사,N5
甘い,あまい,amai,달다,형용사,N5
辛い,からい,karai,맵다,형용사,N5
塩辛い,しおからい,shiokarai,짜다,형용사,N5
苦い,にがい,nigai,쓰다,형용사,N5
酸っぱい,すっぱい,suppai,시다,형용사,N5
番号,ばんごう,bangou,번호,명사,N5
住所,じゅうしょ,juusho,주소,명사,N5
電話番号,でんわばんごう,denwabangou,전화번호,명사,N5
値段,ねだん,nedan,가격,명사,N5
切符,きっぷ,kippu,표 티켓,명사,N5
飛行機,ひこうき,hikouki,비행기,명사,N5
バス,ばす,basu,버스,명사,N5
タクシー,たくしー,takushii,택시,명사,N5
船,ふね,fune,배,명사,N5
荷物,にもつ,nimotsu,짐,명사,N5
パスポート,ぱすぽーと,pasupooto,여권,명사,N5
