expression,reading,romaji,meaningKo,partOfSpeech,level
機関,きかん,kikan,뜻 자동 생성 필요,미분류,N3
機能,きのう,kinou,뜻 자동 생성 필요,미분류,N3
記事,きじ,kiji,뜻 자동 생성 필요,미분류,N3
記者,きしゃ,kisha,뜻 자동 생성 필요,미분류,N3
記録,きろく,kiroku,뜻 자동 생성 필요,미분류,N3
議員,ぎいん,giin,뜻 자동 생성 필요,미분류,N3
議会,ぎかい,gikai,뜻 자동 생성 필요,미분류,N3
議長,ぎちょう,gichou,뜻 자동 생성 필요,미분류,N3
教授,きょうじゅ,kyouju,뜻 자동 생성 필요,미분류,N3
筋,すじ,suji,뜻 자동 생성 필요,미분류,N3
金融,きんゆう,kinyuu,뜻 자동 생성 필요,미분류,N3
契約,けいやく,keiyaku,뜻 자동 생성 필요,미분류,N3
景気,けいき,keiki,뜻 자동 생성 필요,미분류,N3
経営,けいえい,keiei,뜻 자동 생성 필요,미분류,N3
計画,けいかく,keikaku,뜻 자동 생성 필요,미분류,N3
決定,けってい,kettei,뜻 자동 생성 필요,미분류,N3
結果,けっか,kekka,뜻 자동 생성 필요,미분류,N3
建設,けんせつ,kensetsu,뜻 자동 생성 필요,미분류,N3
憲法,けんぽう,kenpou,뜻 자동 생성 필요,미분류,N3
現在,げんざい,genzai,뜻 자동 생성 필요,미분류,N3
現実,げんじつ,genjitsu,뜻 자동 생성 필요,미분류,N3
現場,げんば,genba,뜻 자동 생성 필요,미분류,N3
言わば,いわば,iwaba,뜻 자동 생성 필요,미분류,N3
個人,こじん,kojin,뜻 자동 생성 필요,미분류,N3
候補,こうほ,kouho,뜻 자동 생성 필요,미분류,N3
効果,こうか,kouka,뜻 자동 생성 필요,미분류,N3
攻撃,こうげき,kougeki,뜻 자동 생성 필요,미분류,N3
考え,かんがえ,kangae,뜻 자동 생성 필요,미분류,N3
行動,こうどう,koudou,뜻 자동 생성 필요,미분류,N3
国家,こっか,kokka,뜻 자동 생성 필요,미분류,N3
国会,こっかい,kokkai,뜻 자동 생성 필요,미분류,N3
国民,こくみん,kokumin,뜻 자동 생성 필요,미분류,N3
今回,こんかい,konkai,뜻 자동 생성 필요,미분류,N3
今後,こんご,kongo,뜻 자동 생성 필요,미분류,N3
最も,もっとも,mottomo,뜻 자동 생성 필요,미분류,N3
最高,さいこう,saikou,뜻 자동 생성 필요,미분류,N3
最終,さいしゅう,saishuu,뜻 자동 생성 필요,미분류,N3
裁判,さいばん,saiban,뜻 자동 생성 필요,미분류,N3
作業,さぎょう,sagyou,뜻 자동 생성 필요,미분류,N3
作品,さくひん,sakuhin,뜻 자동 생성 필요,미분류,N3
参加,さんか,sanka,뜻 자동 생성 필요,미분류,N3
姿,すがた,sugata,뜻 자동 생성 필요,미분류,N3
市場,いちば,ichiba,뜻 자동 생성 필요,미분류,N3
指導,しどう,shidou,뜻 자동 생성 필요,미분류,N3
事件,じけん,jiken,뜻 자동 생성 필요,미분류,N3
事実,じじつ,jijitsu,뜻 자동 생성 필요,미분류,N3
事情,じじょう,jijou,뜻 자동 생성 필요,미분류,N3
事務,じむ,jimu,뜻 자동 생성 필요,미분류,N3
時期,じき,jiki,뜻 자동 생성 필요,미분류,N3
自身,じしん,jishin,뜻 자동 생성 필요,미분류,N3
自然,しぜん,shizen,뜻 자동 생성 필요,미분류,N3
実施,じっし,jisshi,뜻 자동 생성 필요,미분류,N3
首相,しゅしょう,shushou,뜻 자동 생성 필요,미분류,N3
住宅,じゅうたく,juutaku,뜻 자동 생성 필요,미분류,N3
住民,じゅうみん,juumin,뜻 자동 생성 필요,미분류,N3
重要,じゅうよう,juuyou,뜻 자동 생성 필요,미분류,N3
出身,しゅっしん,shusshin,뜻 자동 생성 필요,미분류,N3
女子,じょし,joshi,뜻 자동 생성 필요,미분류,N3
商品,しょうひん,shouhin,뜻 자동 생성 필요,미분류,N3
情報,じょうほう,jouhou,뜻 자동 생성 필요,미분류,N3
条件,じょうけん,jouken,뜻 자동 생성 필요,미분류,N3
状況,じょうきょう,joukyou,뜻 자동 생성 필요,미분류,N3
状態,じょうたい,joutai,뜻 자동 생성 필요,미분류,N3
新た,あらた,arata,뜻 자동 생성 필요,미분류,N3
人間,にんげん,ningen,뜻 자동 생성 필요,미분류,N3
人気,にんき,ninki,뜻 자동 생성 필요,미분류,N3
制度,せいど,seido,뜻 자동 생성 필요,미분류,N3
成長,せいちょう,seichou,뜻 자동 생성 필요,미분류,N3
政府,せいふ,seifu,뜻 자동 생성 필요,미분류,N3
生産,せいさん,seisan,뜻 자동 생성 필요,미분류,N3
積極的,せっきょくてき,sekkyokuteki,뜻 자동 생성 필요,미분류,N3
責任,せきにん,sekinin,뜻 자동 생성 필요,미분류,N3
選手,せんしゅ,senshu,뜻 자동 생성 필요,미분류,N3
全体,ぜんたい,zentai,뜻 자동 생성 필요,미분류,N3
組織,そしき,soshiki,뜻 자동 생성 필요,미분류,N3
相手,あいて,aite,뜻 자동 생성 필요,미분류,N3
対象,たいしょう,taishou,뜻 자동 생성 필요,미분류,N3
代表,だいひょう,daihyou,뜻 자동 생성 필요,미분류,N3
台,だい,dai,뜻 자동 생성 필요,미분류,N3
大会,たいかい,taikai,뜻 자동 생성 필요,미분류,N3
大統領,だいとうりょう,daitouryou,뜻 자동 생성 필요,미분류,N3
団体,だんたい,dantai,뜻 자동 생성 필요,미분류,N3
男子,だんし,danshi,뜻 자동 생성 필요,미분류,N3
知事,ちじ,chiji,뜻 자동 생성 필요,미분류,N3
地域,ちいき,chiiki,뜻 자동 생성 필요,미분류,N3
地球,ちきゅう,chikyuu,뜻 자동 생성 필요,미분류,N3
中央,ちゅうおう,chuuou,뜻 자동 생성 필요,미분류,N3
中心,ちゅうしん,chuushin,뜻 자동 생성 필요,미분류,N3
調査,ちょうさ,chousa,뜻 자동 생성 필요,미분류,N3
通信,つうしん,tsuushin,뜻 자동 생성 필요,미분류,N3
程度,ていど,teido,뜻 자동 생성 필요,미분류,N3
都市,とし,toshi,뜻 자동 생성 필요,미분류,N3
努力,どりょく,doryoku,뜻 자동 생성 필요,미분류,N3
土地,とち,tochi,뜻 자동 생성 필요,미분류,N3
投票,とうひょう,touhyou,뜻 자동 생성 필요,미분류,N3
当時,とうじ,touji,뜻 자동 생성 필요,미분류,N3
同時,どうじ,douji,뜻 자동 생성 필요,미분류,N3
内容,ないよう,naiyou,뜻 자동 생성 필요,미분류,N3
年間,ねんかん,nenkan,뜻 자동 생성 필요,미분류,N3
農業,のうぎょう,nougyou,뜻 자동 생성 필요,미분류,N3
判断,はんだん,handan,뜻 자동 생성 필요,미분류,N3
販売,はんばい,hanbai,뜻 자동 생성 필요,미분류,N3
批判,ひはん,hihan,뜻 자동 생성 필요,미분류,N3
舞台,ぶたい,butai,뜻 자동 생성 필요,미분류,N3
部分,ぶぶん,bubun,뜻 자동 생성 필요,미분류,N3
分野,ぶんや,bunya,뜻 자동 생성 필요,미분류,N3
平和,へいわ,heiwa,뜻 자동 생성 필요,미분류,N3
変化,へんか,henka,뜻 자동 생성 필요,미분류,N3
報告,ほうこく,houkoku,뜻 자동 생성 필요,미분류,N3
放送,ほうそう,housou,뜻 자동 생성 필요,미분류,N3
方向,ほうこう,houkou,뜻 자동 생성 필요,미분류,N3
方法,ほうほう,houhou,뜻 자동 생성 필요,미분류,N3
訪問,ほうもん,houmon,뜻 자동 생성 필요,미분류,N3
明らか,あきらか,akiraka,뜻 자동 생성 필요,미분류,N3
目的,もくてき,mokuteki,뜻 자동 생성 필요,미분류,N3
目標,もくひょう,mokuhyou,뜻 자동 생성 필요,미분류,N3
役割,やくわり,yakuwari,뜻 자동 생성 필요,미분류,N3
輸出,ゆしゅつ,yushutsu,뜻 자동 생성 필요,미분류,N3
輸入,ゆにゅう,yunyuu,뜻 자동 생성 필요,미분류,N3
優勝,ゆうしょう,yuushou,뜻 자동 생성 필요,미분류,N3
予算,よさん,yosan,뜻 자동 생성 필요,미분류,N3
要求,ようきゅう,youkyuu,뜻 자동 생성 필요,미분류,N3
立場,たちば,tachiba,뜻 자동 생성 필요,미분류,N3
連続,れんぞく,renzoku,뜻 자동 생성 필요,미분류,N3
一時,いちじ,ichiji,뜻 자동 생성 필요,미분류,N3
九,きゅう,kyuu,뜻 자동 생성 필요,미분류,N3
四,し,shi,뜻 자동 생성 필요,미분류,N3
十,じゅう,juu,뜻 자동 생성 필요,미분류,N3
全国,ぜんこく,zenkoku,뜻 자동 생성 필요,미분류,N3
平均,へいきん,heikin,뜻 자동 생성 필요,미분류,N3
共同,きょうどう,kyoudou,뜻 자동 생성 필요,미분류,N3
協力,きょうりょく,kyouryoku,뜻 자동 생성 필요,미분류,N3
銀,ぎん,gin,뜻 자동 생성 필요,미분류,N3
事態,じたい,jitai,뜻 자동 생성 필요,미분류,N3
労働,ろうどう,roudou,뜻 자동 생성 필요,미분류,N3
地区,ちく,chiku,뜻 자동 생성 필요,미분류,N3
愛,あい,ai,뜻 자동 생성 필요,미분류,N3
安定,あんてい,antei,뜻 자동 생성 필요,미분류,N3
意識,いしき,ishiki,뜻 자동 생성 필요,미분류,N3
違い,ちがい,chigai,뜻 자동 생성 필요,미분류,N3
医師,いし,ishi,뜻 자동 생성 필요,미분류,N3
宇宙,うちゅう,uchuu,뜻 자동 생성 필요,미분류,N3
運転,うんてん,unten,뜻 자동 생성 필요,미분류,N3
営業,えいぎょう,eigyou,뜻 자동 생성 필요,미분류,N3
衛星,えいせい,eisei,뜻 자동 생성 필요,미분류,N3
演説,えんぜつ,enzetsu,뜻 자동 생성 필요,미분류,N3
会合,かいごう,kaigou,뜻 자동 생성 필요,미분류,N3
改善,かいぜん,kaizen,뜻 자동 생성 필요,미분류,N3
開始,かいし,kaishi,뜻 자동 생성 필요,미분류,N3
確実,かくじつ,kakujitsu,뜻 자동 생성 필요,미분류,N3
感じ,かんじ,kanji,뜻 자동 생성 필요,미분류,N3
観光,かんこう,kankou,뜻 자동 생성 필요,미분류,N3
希望,きぼう,kibou,뜻 자동 생성 필요,미분류,N3
記念,きねん,kinen,뜻 자동 생성 필요,미분류,N3
疑問,ぎもん,gimon,뜻 자동 생성 필요,미분류,N3
議論,ぎろん,giron,뜻 자동 생성 필요,미분류,N3
競技,きょうぎ,kyougi,뜻 자동 생성 필요,미분류,N3
共通,きょうつう,kyoutsuu,뜻 자동 생성 필요,미분류,N3
教師,きょうし,kyoushi,뜻 자동 생성 필요,미분류,N3
胸,むね,mune,뜻 자동 생성 필요,미분류,N3
禁止,きんし,kinshi,뜻 자동 생성 필요,미분류,N3
軍,ぐん,gun,뜻 자동 생성 필요,미분류,N3
傾向,けいこう,keikou,뜻 자동 생성 필요,미분류,N3
経験,けいけん,keiken,뜻 자동 생성 필요,미분류,N3
芸術,げいじゅつ,geijutsu,뜻 자동 생성 필요,미분류,N3
劇場,げきじょう,gekijou,뜻 자동 생성 필요,미분류,N3
結局,けっきょく,kekkyoku,뜻 자동 생성 필요,미분류,N3
結論,けつろん,ketsuron,뜻 자동 생성 필요,미분류,N3
健康,けんこう,kenkou,뜻 자동 생성 필요,미분류,N3
検査,けんさ,kensa,뜻 자동 생성 필요,미분류,N3
検討,けんとう,kentou,뜻 자동 생성 필요,미분류,N3
権利,けんり,kenri,뜻 자동 생성 필요,미분류,N3
見解,けんかい,kenkai,뜻 자동 생성 필요,미분류,N3
現状,げんじょう,genjou,뜻 자동 생성 필요,미분류,N3
現代,げんだい,gendai,뜻 자동 생성 필요,미분류,N3
交換,こうかん,koukan,뜻 자동 생성 필요,미분류,N3
広告,こうこく,koukoku,뜻 자동 생성 필요,미분류,N3
航空,こうくう,koukuu,뜻 자동 생성 필요,미분류,N3
講演,こうえん,kouen,뜻 자동 생성 필요,미분류,N3
国境,こっきょう,kokkyou,뜻 자동 생성 필요,미분류,N3
混乱,こんらん,konran,뜻 자동 생성 필요,미분류,N3
差,さ,sa,뜻 자동 생성 필요,미분류,N3
再び,ふたたび,futatabi,뜻 자동 생성 필요,미분류,N3
作家,さっか,sakka,뜻 자동 생성 필요,미분류,N3
賛成,さんせい,sansei,뜻 자동 생성 필요,미분류,N3
使用,しよう,shiyou,뜻 자동 생성 필요,미분류,N3
思わず,おもわず,omowazu,뜻 자동 생성 필요,미분류,N3
支店,してん,shiten,뜻 자동 생성 필요,미분류,N3
実験,じっけん,jikken,뜻 자동 생성 필요,미분류,N3
実現,じつげん,jitsugen,뜻 자동 생성 필요,미분류,N3
実際,じっさい,jissai,뜻 자동 생성 필요,미분류,N3
主義,しゅぎ,shugi,뜻 자동 생성 필요,미분류,N3
主張,しゅちょう,shuchou,뜻 자동 생성 필요,미분류,N3
主婦,しゅふ,shufu,뜻 자동 생성 필요,미분류,N3
主要,しゅよう,shuyou,뜻 자동 생성 필요,미분류,N3
首都,しゅと,shuto,뜻 자동 생성 필요,미분류,N3
需要,じゅよう,juyou,뜻 자동 생성 필요,미분류,N3
収入,しゅうにゅう,shuunyuu,뜻 자동 생성 필요,미분류,N3
宗教,しゅうきょう,shuukyou,뜻 자동 생성 필요,미분류,N3
修正,しゅうせい,shuusei,뜻 자동 생성 필요,미분류,N3
集団,しゅうだん,shuudan,뜻 자동 생성 필요,미분류,N3
準備,じゅんび,junbi,뜻 자동 생성 필요,미분류,N3
処理,しょり,shori,뜻 자동 생성 필요,미분류,N3
少年,しょうねん,shounen,뜻 자동 생성 필요,미분류,N3
承認,しょうにん,shounin,뜻 자동 생성 필요,미분류,N3
消費,しょうひ,shouhi,뜻 자동 생성 필요,미분류,N3
障害,しょうがい,shougai,뜻 자동 생성 필요,미분류,N3
深刻,しんこく,shinkoku,뜻 자동 생성 필요,미분류,N3
身,み,mi,뜻 자동 생성 필요,미분류,N3
人生,じんせい,jinsei,뜻 자동 생성 필요,미분류,N3
人物,じんぶつ,jinbutsu,뜻 자동 생성 필요,미분류,N3
推薦,すいせん,suisen,뜻 자동 생성 필요,미분류,N3
水準,すいじゅん,suijun,뜻 자동 생성 필요,미분류,N3
数字,すうじ,suuji,뜻 자동 생성 필요,미분류,N3
正式,せいしき,seishiki,뜻 자동 생성 필요,미분류,N3
精神,せいしん,seishin,뜻 자동 생성 필요,미분류,N3
製造,せいぞう,seizou,뜻 자동 생성 필요,미분류,N3
製品,せいひん,seihin,뜻 자동 생성 필요,미분류,N3
石油,せきゆ,sekiyu,뜻 자동 생성 필요,미분류,N3
設備,せつび,setsubi,뜻 자동 생성 필요,미분류,N3
全員,ぜんいん,zenin,뜻 자동 생성 필요,미분류,N3
組合,くみあい,kumiai,뜻 자동 생성 필요,미분류,N3
相談,そうだん,soudan,뜻 자동 생성 필요,미분류,N3
装置,そうち,souchi,뜻 자동 생성 필요,미분류,N3
増加,ぞうか,zouka,뜻 자동 생성 필요,미분류,N3
存在,そんざい,sonzai,뜻 자동 생성 필요,미분류,N3
態度,たいど,taido,뜻 자동 생성 필요,미분류,N3
逮捕,たいほ,taiho,뜻 자동 생성 필요,미분류,N3
大使,たいし,taishi,뜻 자동 생성 필요,미분류,N3
担当,たんとう,tantou,뜻 자동 생성 필요,미분류,N3
仲間,なかま,nakama,뜻 자동 생성 필요,미분류,N3
長期,ちょうき,chouki,뜻 자동 생성 필요,미분류,N3
直接,ちょくせつ,chokusetsu,뜻 자동 생성 필요,미분류,N3
提案,ていあん,teian,뜻 자동 생성 필요,미분류,N3
伝統,でんとう,dentou,뜻 자동 생성 필요,미분류,N3
党,とう,tou,뜻 자동 생성 필요,미분류,N3
同様,どうよう,douyou,뜻 자동 생성 필요,미분류,N3
道路,どうろ,douro,뜻 자동 생성 필요,미분류,N3
特徴,とくちょう,tokuchou,뜻 자동 생성 필요,미분류,N3
独立,どくりつ,dokuritsu,뜻 자동 생성 필요,미분류,N3
能力,のうりょく,nouryoku,뜻 자동 생성 필요,미분류,N3
馬,うま,uma,뜻 자동 생성 필요,미분류,N3
発行,はっこう,hakkou,뜻 자동 생성 필요,미분류,N3
発展,はってん,hatten,뜻 자동 생성 필요,미분류,N3
発表,はっぴょう,happyou,뜻 자동 생성 필요,미분류,N3
彼ら,かれら,karera,뜻 자동 생성 필요,미분류,N3
被害,ひがい,higai,뜻 자동 생성 필요,미분류,N3
費用,ひよう,hiyou,뜻 자동 생성 필요,미분류,N3
非常,ひじょう,hijou,뜻 자동 생성 필요,미분류,N3
表現,ひょうげん,hyougen,뜻 자동 생성 필요,미분류,N3
表情,ひょうじょう,hyoujou,뜻 자동 생성 필요,미분류,N3
評価,ひょうか,hyouka,뜻 자동 생성 필요,미분류,N3
不安,ふあん,fuan,뜻 자동 생성 필요,미분류,N3
不足,ふそく,fusoku,뜻 자동 생성 필요,미분류,N3
不満,ふまん,fuman,뜻 자동 생성 필요,미분류,N3
夫人,ふじん,fujin,뜻 자동 생성 필요,미분류,N3
父親,ちちおや,chichioya,뜻 자동 생성 필요,미분류,N3
武器,ぶき,buki,뜻 자동 생성 필요,미분류,N3
幅,はば,haba,뜻 자동 생성 필요,미분류,N3
母親,ははおや,hahaoya,뜻 자동 생성 필요,미분류,N3
豊か,ゆたか,yutaka,뜻 자동 생성 필요,미분류,N3
本人,ほんにん,honnin,뜻 자동 생성 필요,미분류,N3
無料,むりょう,muryou,뜻 자동 생성 필요,미분류,N3
名,な,na,뜻 자동 생성 필요,미분류,N3
明確,めいかく,meikaku,뜻 자동 생성 필요,미분류,N3
友人,ゆうじん,yuujin,뜻 자동 생성 필요,미분류,N3
有効,ゆうこう,yuukou,뜻 자동 생성 필요,미분류,N3
様子,ようす,yousu,뜻 자동 생성 필요,미분류,N3
利益,りえき,rieki,뜻 자동 생성 필요,미분류,N3
理解,りかい,rikai,뜻 자동 생성 필요,미분류,N3
流れ,ながれ,nagare,뜻 자동 생성 필요,미분류,N3
料金,りょうきん,ryoukin,뜻 자동 생성 필요,미분류,N3
老人,ろうじん,roujin,뜻 자동 생성 필요,미분류,N3
話題,わだい,wadai,뜻 자동 생성 필요,미분류,N3
何,なに,nani,뜻 자동 생성 필요,미분류,N3
夫婦,ふうふ,fuufu,뜻 자동 생성 필요,미분류,N3
年齢,ねんれい,nenrei,뜻 자동 생성 필요,미분류,N3
我々,われわれ,wareware,뜻 자동 생성 필요,미분류,N3
意思,いし,ishi,뜻 자동 생성 필요,미분류,N3
貢献,こうけん,kouken,뜻 자동 생성 필요,미분류,N3
何か,なにか,nanika,뜻 자동 생성 필요,미분류,N3
以前,いぜん,izen,뜻 자동 생성 필요,미분류,N3
一層,いっそう,issou,뜻 자동 생성 필요,미분류,N3
印象,いんしょう,inshou,뜻 자동 생성 필요,미분류,N3
汚染,おせん,osen,뜻 자동 생성 필요,미분류,N3
価値,かち,kachi,뜻 자동 생성 필요,미분류,N3
歌手,かしゅ,kashu,뜻 자동 생성 필요,미분류,N3
絵画,かいが,kaiga,뜻 자동 생성 필요,미분류,N3
確認,かくにん,kakunin,뜻 자동 생성 필요,미분류,N3
学者,がくしゃ,gakusha,뜻 자동 생성 필요,미분류,N3
学習,がくしゅう,gakushuu,뜻 자동 생성 필요,미분류,N3
株,かぶ,kabu,뜻 자동 생성 필요,미분류,N3
感覚,かんかく,kankaku,뜻 자동 생성 필요,미분류,N3
機械,きかい,kikai,뜻 자동 생성 필요,미분류,N3
義務,ぎむ,gimu,뜻 자동 생성 필요,미분류,N3
急速,きゅうそく,kyuusoku,뜻 자동 생성 필요,미분류,N3
供給,きょうきゅう,kyoukyuu,뜻 자동 생성 필요,미분류,N3
緊張,きんちょう,kinchou,뜻 자동 생성 필요,미분류,N3
近代,きんだい,kindai,뜻 자동 생성 필요,미분류,N3
金額,きんがく,kingaku,뜻 자동 생성 필요,미분류,N3
空,から,kara,뜻 자동 생성 필요,미분류,N3
訓練,くんれん,kunren,뜻 자동 생성 필요,미분류,N3
劇,げき,geki,뜻 자동 생성 필요,미분류,N3
建築,けんちく,kenchiku,뜻 자동 생성 필요,미분류,N3
肩,かた,kata,뜻 자동 생성 필요,미분류,N3
現金,げんきん,genkin,뜻 자동 생성 필요,미분류,N3
現象,げんしょう,genshou,뜻 자동 생성 필요,미분류,N3
構成,こうせい,kousei,뜻 자동 생성 필요,미분류,N3
合計,ごうけい,goukei,뜻 자동 생성 필요,미분류,N3
差別,さべつ,sabetsu,뜻 자동 생성 필요,미분류,N3
最低,さいてい,saitei,뜻 자동 생성 필요,미분류,N3
材料,ざいりょう,zairyou,뜻 자동 생성 필요,미분류,N3
参考,さんこう,sankou,뜻 자동 생성 필요,미분류,N3
残り,のこり,nokori,뜻 자동 생성 필요,미분류,N3
思想,しそう,shisou,뜻 자동 생성 필요,미분류,N3
支配,しはい,shihai,뜻 자동 생성 필요,미분류,N3
資源,しげん,shigen,뜻 자동 생성 필요,미분류,N3
資本,しほん,shihon,뜻 자동 생성 필요,미분류,N3
失業,しつぎょう,shitsugyou,뜻 자동 생성 필요,미분류,N3
実は,じつは,jitsuha,뜻 자동 생성 필요,미분류,N3
実行,じっこう,jikkou,뜻 자동 생성 필요,미분류,N3
手術,しゅじゅつ,shujutsu,뜻 자동 생성 필요,미분류,N3
手段,しゅだん,shudan,뜻 자동 생성 필요,미분류,N3
周囲,しゅうい,shuui,뜻 자동 생성 필요,미분류,N3
就職,しゅうしょく,shuushoku,뜻 자동 생성 필요,미분류,N3
集中,しゅうちゅう,shuuchuu,뜻 자동 생성 필요,미분류,N3
重大,じゅうだい,juudai,뜻 자동 생성 필요,미분류,N3
出席,しゅっせき,shusseki,뜻 자동 생성 필요,미분류,N3
出版,しゅっぱん,shuppan,뜻 자동 생성 필요,미분류,N3
章,しょう,shou,뜻 자동 생성 필요,미분류,N3
場面,ばめん,bamen,뜻 자동 생성 필요,미분류,N3
職業,しょくぎょう,shokugyou,뜻 자동 생성 필요,미분류,N3
食事,しょくじ,shokuji,뜻 자동 생성 필요,미분류,N3
食品,しょくひん,shokuhin,뜻 자동 생성 필요,미분류,N3
信用,しんよう,shinyou,뜻 자동 생성 필요,미분류,N3
信頼,しんらい,shinrai,뜻 자동 생성 필요,미분류,N3
神,かみ,kami,뜻 자동 생성 필요,미분류,N3
制限,せいげん,seigen,뜻 자동 생성 필요,미분류,N3
勢い,いきおい,ikioi,뜻 자동 생성 필요,미분류,N3
性格,せいかく,seikaku,뜻 자동 생성 필요,미분류,N3
成功,せいこう,seikou,뜻 자동 생성 필요,미분류,N3
成績,せいせき,seiseki,뜻 자동 생성 필요,미분류,N3
正午,しょうご,shougo,뜻 자동 생성 필요,미분류,N3
生命,せいめい,seimei,뜻 자동 생성 필요,미분류,N3
請求,せいきゅう,seikyuu,뜻 자동 생성 필요,미분류,N3
青年,せいねん,seinen,뜻 자동 생성 필요,미분류,N3
跡,あと,ato,뜻 자동 생성 필요,미분류,N3
設計,せっけい,sekkei,뜻 자동 생성 필요,미분류,N3
専攻,せんこう,senkou,뜻 자동 생성 필요,미분류,N3
選択,せんたく,sentaku,뜻 자동 생성 필요,미분류,N3
相当,そうとう,soutou,뜻 자동 생성 필요,미분류,N3
損害,そんがい,songai,뜻 자동 생성 필요,미분류,N3
体育,たいいく,taiiku,뜻 자동 생성 필요,미분류,N3
代理,だいり,dairi,뜻 자동 생성 필요,미분류,N3
大臣,だいじん,daijin,뜻 자동 생성 필요,미분류,N3
大半,たいはん,taihan,뜻 자동 생성 필요,미분류,N3
単位,たんい,tani,뜻 자동 생성 필요,미분류,N3
誕生,たんじょう,tanjou,뜻 자동 생성 필요,미분류,N3
地,ち,chi,뜻 자동 생성 필요,미분류,N3
地位,ちい,chii,뜻 자동 생성 필요,미분류,N3
地下,ちか,chika,뜻 자동 생성 필요,미분류,N3
中学,ちゅうがく,chuugaku,뜻 자동 생성 필요,미분류,N3
中止,ちゅうし,chuushi,뜻 자동 생성 필요,미분류,N3
