expression,reading,romaji,meaningKo,partOfSpeech,level
市民,しみん,shimin,뜻 자동 생성 필요,미분류,N4
試合,しあい,shiai,뜻 자동 생성 필요,미분류,N4
事故,じこ,jiko,뜻 자동 생성 필요,미분류,N4
事務所,じむしょ,jimusho,뜻 자동 생성 필요,미분류,N4
時代,じだい,jidai,뜻 자동 생성 필요,미분류,N4
自由,じゆう,jiyuu,뜻 자동 생성 필요,미분류,N4
社会,しゃかい,shakai,뜻 자동 생성 필요,미분류,N4
社長,しゃちょう,shachou,뜻 자동 생성 필요,미분류,N4
女性,じょせい,josei,뜻 자동 생성 필요,미분류,N4
将来,しょうらい,shourai,뜻 자동 생성 필요,미분류,N4
場所,ばしょ,basho,뜻 자동 생성 필요,미분류,N4
人口,じんこう,jinkou,뜻 자동 생성 필요,미분류,N4
世界,せかい,sekai,뜻 자동 생성 필요,미분류,N4
政治,せいじ,seiji,뜻 자동 생성 필요,미분류,N4
生活,せいかつ,seikatsu,뜻 자동 생성 필요,미분류,N4
戦争,せんそう,sensou,뜻 자동 생성 필요,미분류,N4
男性,だんせい,dansei,뜻 자동 생성 필요,미분류,N4
特に,とくに,tokuni,뜻 자동 생성 필요,미분류,N4
特別,とくべつ,tokubetsu,뜻 자동 생성 필요,미분류,N4
反対,はんたい,hantai,뜻 자동 생성 필요,미분류,N4
番組,ばんぐみ,bangumi,뜻 자동 생성 필요,미분류,N4
必要,ひつよう,hitsuyou,뜻 자동 생성 필요,미분류,N4
夫,おっと,otto,뜻 자동 생성 필요,미분류,N4
部長,ぶちょう,buchou,뜻 자동 생성 필요,미분류,N4
文化,ぶんか,bunka,뜻 자동 생성 필요,미분류,N4
貿易,ぼうえき,boueki,뜻 자동 생성 필요,미분류,N4
予定,よてい,yotei,뜻 자동 생성 필요,미분류,N4
理由,りゆう,riyuu,뜻 자동 생성 필요,미분류,N4
歴史,れきし,rekishi,뜻 자동 생성 필요,미분류,N4
工場,こうじょう,koujou,뜻 자동 생성 필요,미분류,N4
行う,おこなう,okonau,뜻 자동 생성 필요,미분류,N4
気持ち,きもち,kimochi,뜻 자동 생성 필요,미분류,N4
以内,いない,inai,뜻 자동 생성 필요,미분류,N4
医学,いがく,igaku,뜻 자동 생성 필요,미분류,N4
科学,かがく,kagaku,뜻 자동 생성 필요,미분류,N4
火,ひ,hi,뜻 자동 생성 필요,미분류,N4
課長,かちょう,kachou,뜻 자동 생성 필요,미분류,N4
会場,かいじょう,kaijou,뜻 자동 생성 필요,미분류,N4
簡単,かんたん,kantan,뜻 자동 생성 필요,미분류,N4
危険,きけん,kiken,뜻 자동 생성 필요,미분류,N4
機会,きかい,kikai,뜻 자동 생성 필요,미분류,N4
競争,きょうそう,kyousou,뜻 자동 생성 필요,미분류,N4
交通,こうつう,koutsuu,뜻 자동 생성 필요,미분류,N4
工業,こうぎょう,kougyou,뜻 자동 생성 필요,미분류,N4
今度,こんど,kondo,뜻 자동 생성 필요,미분류,N4
試験,しけん,shiken,뜻 자동 생성 필요,미분류,N4
寺,てら,tera,뜻 자동 생성 필요,미분류,N4
十分,じゅうぶん,juubun,뜻 자동 생성 필요,미분류,N4
森,もり,mori,뜻 자동 생성 필요,미분류,N4
親,おや,oya,뜻 자동 생성 필요,미분류,N4
昔,むかし,mukashi,뜻 자동 생성 필요,미분류,N4
説明,せつめい,setsumei,뜻 자동 생성 필요,미분류,N4
地震,じしん,jishin,뜻 자동 생성 필요,미분류,N4
島,しま,shima,뜻 자동 생성 필요,미분류,N4
彼女,かのじょ,kanojo,뜻 자동 생성 필요,미분류,N4
比べる,くらべる,kuraberu,뜻 자동 생성 필요,미분류,N4
普通,ふつう,futsuu,뜻 자동 생성 필요,미분류,N4
文学,ぶんがく,bungaku,뜻 자동 생성 필요,미분류,N4
壁,かべ,kabe,뜻 자동 생성 필요,미분류,N4
法律,ほうりつ,houritsu,뜻 자동 생성 필요,미분류,N4
夢,ゆめ,yume,뜻 자동 생성 필요,미분류,N4
娘,むすめ,musume,뜻 자동 생성 필요,미분류,N4
利用,りよう,riyou,뜻 자동 생성 필요,미분류,N4
林,はやし,hayashi,뜻 자동 생성 필요,미분류,N4
例えば,たとえば,tatoeba,뜻 자동 생성 필요,미분류,N4
連絡,れんらく,renraku,뜻 자동 생성 필요,미분류,N4
音,おと,oto,뜻 자동 생성 필요,미분류,N4
途中,とちゅう,tochuu,뜻 자동 생성 필요,미분류,N4
選ぶ,えらぶ,erabu,뜻 자동 생성 필요,미분류,N4
思う,おもう,omou,뜻 자동 생성 필요,미분류,N4
確か,たしか,tashika,뜻 자동 생성 필요,미분류,N4
気分,きぶん,kibun,뜻 자동 생성 필요,미분류,N4
急,きゅう,kyuu,뜻 자동 생성 필요,미분류,N4
空気,くうき,kuuki,뜻 자동 생성 필요,미분류,N4
決して,けっして,kesshite,뜻 자동 생성 필요,미분류,N4
血,ち,chi,뜻 자동 생성 필요,미분류,N4
校長,こうちょう,kouchou,뜻 자동 생성 필요,미분류,N4
高校生,こうこうせい,koukousei,뜻 자동 생성 필요,미분류,N4
残念,ざんねん,zannen,뜻 자동 생성 필요,미분류,N4
住所,じゅうしょ,juusho,뜻 자동 생성 필요,미분류,N4
小学校,しょうがっこう,shougakkou,뜻 자동 생성 필요,미분류,N4
小説,しょうせつ,shousetsu,뜻 자동 생성 필요,미분류,N4
息子,むすこ,musuko,뜻 자동 생성 필요,미분류,N4
卒業,そつぎょう,sotsugyou,뜻 자동 생성 필요,미분류,N4
美術館,びじゅつかん,bijutsukan,뜻 자동 생성 필요,미분류,N4
必ず,かならず,kanarazu,뜻 자동 생성 필요,미분류,N4
複雑,ふくざつ,fukuzatsu,뜻 자동 생성 필요,미분류,N4
変わる,かわる,kawaru,뜻 자동 생성 필요,미분류,N4
味,あじ,aji,뜻 자동 생성 필요,미분류,N4
代わり,かわり,kawari,뜻 자동 생성 필요,미분류,N4
首,くび,kubi,뜻 자동 생성 필요,미분류,N4
割合,わりあい,wariai,뜻 자동 생성 필요,미분류,N4
一度,いちど,ichido,뜻 자동 생성 필요,미분류,N4
以下,いか,ika,뜻 자동 생성 필요,미분류,N4
運転手,うんてんしゅ,untenshu,뜻 자동 생성 필요,미분류,N4
会話,かいわ,kaiwa,뜻 자동 생성 필요,미분류,N4
楽しみ,たのしみ,tanoshimi,뜻 자동 생성 필요,미분류,N4
季節,きせつ,kisetsu,뜻 자동 생성 필요,미분류,N4
興味,きょうみ,kyoumi,뜻 자동 생성 필요,미분류,N4
港,みなと,minato,뜻 자동 생성 필요,미분류,N4
郊外,こうがい,kougai,뜻 자동 생성 필요,미분류,N4
失敗,しっぱい,shippai,뜻 자동 생성 필요,미분류,N4
生きる,いきる,ikiru,뜻 자동 생성 필요,미분류,N4
席,せき,seki,뜻 자동 생성 필요,미분류,N4
線,せん,sen,뜻 자동 생성 필요,미분류,N4
中学校,ちゅうがっこう,chuugakkou,뜻 자동 생성 필요,미분류,N4
注意,ちゅうい,chuui,뜻 자동 생성 필요,미분류,N4
答え,こたえ,kotae,뜻 자동 생성 필요,미분류,N4
入院,にゅういん,nyuuin,뜻 자동 생성 필요,미분류,N4
入学,にゅうがく,nyuugaku,뜻 자동 생성 필요,미분류,N4
遊び,あそび,asobi,뜻 자동 생성 필요,미분류,N4
葉,は,ha,뜻 자동 생성 필요,미분류,N4
仕方,しかた,shikata,뜻 자동 생성 필요,미분류,N4
台風,たいふう,taifuu,뜻 자동 생성 필요,미분류,N4
値段,ねだん,nedan,뜻 자동 생성 필요,미분류,N4
船,ふね,fune,뜻 자동 생성 필요,미분류,N4
裏,うら,ura,뜻 자동 생성 필요,미분류,N4
安心,あんしん,anshin,뜻 자동 생성 필요,미분류,N4
海岸,かいがん,kaigan,뜻 자동 생성 필요,미분류,N4
教会,きょうかい,kyoukai,뜻 자동 생성 필요,미분류,N4
故障,こしょう,koshou,뜻 자동 생성 필요,미분류,N4
公務員,こうむいん,koumuin,뜻 자동 생성 필요,미분류,N4
枝,えだ,eda,뜻 자동 생성 필요,미분류,N4
趣味,しゅみ,shumi,뜻 자동 생성 필요,미분류,N4
柔道,じゅうどう,juudou,뜻 자동 생성 필요,미분류,N4
紹介,しょうかい,shoukai,뜻 자동 생성 필요,미분류,N4
新聞社,しんぶんしゃ,shinbunsha,뜻 자동 생성 필요,미분류,N4
神社,じんじゃ,jinja,뜻 자동 생성 필요,미분류,N4
人形,にんぎょう,ningyou,뜻 자동 생성 필요,미분류,N4
星,ほし,hoshi,뜻 자동 생성 필요,미분류,N4
盛ん,さかん,sakan,뜻 자동 생성 필요,미분류,N4
先輩,せんぱい,senpai,뜻 자동 생성 필요,미분류,N4
駐車場,ちゅうしゃじょう,chuushajou,뜻 자동 생성 필요,미분류,N4
点,てん,ten,뜻 자동 생성 필요,미분류,N4
熱,ねつ,netsu,뜻 자동 생성 필요,미분류,N4
漫画,まんが,manga,뜻 자동 생성 필요,미분류,N4
無理,むり,muri,뜻 자동 생성 필요,미분류,N4
約束,やくそく,yakusoku,뜻 자동 생성 필요,미분류,N4
用意,ようい,youi,뜻 자동 생성 필요,미분류,N4
腕,うで,ude,뜻 자동 생성 필요,미분류,N4
終わり,おわり,owari,뜻 자동 생성 필요,미분류,N4
周り,まわり,mawari,뜻 자동 생성 필요,미분류,N4
一生懸命,いっしょうけんめい,isshoukenmei,뜻 자동 생성 필요,미분류,N4
運ぶ,はこぶ,hakobu,뜻 자동 생성 필요,미분류,N4
雲,くも,kumo,뜻 자동 생성 필요,미분류,N4
規則,きそく,kisoku,뜻 자동 생성 필요,미분류,N4
鏡,かがみ,kagami,뜻 자동 생성 필요,미분류,N4
近所,きんじょ,kinjo,뜻 자동 생성 필요,미분류,N4
砂,すな,suna,뜻 자동 생성 필요,미분류,N4
指,ゆび,yubi,뜻 자동 생성 필요,미분류,N4
習慣,しゅうかん,shuukan,뜻 자동 생성 필요,미분류,N4
水道,すいどう,suidou,뜻 자동 생성 필요,미분류,N4
赤ちゃん,あかちゃん,akachan,뜻 자동 생성 필요,미분류,N4
草,くさ,kusa,뜻 자동 생성 필요,미분류,N4
送る,おくる,okuru,뜻 자동 생성 필요,미분류,N4
虫,むし,mushi,뜻 자동 생성 필요,미분류,N4
適当,てきとう,tekitou,뜻 자동 생성 필요,미분류,N4
湯,ゆ,yu,뜻 자동 생성 필요,미분류,N4
髪,かみ,kami,뜻 자동 생성 필요,미분류,N4
訪ねる,たずねる,tazuneru,뜻 자동 생성 필요,미분류,N4
翻訳,ほんやく,honyaku,뜻 자동 생성 필요,미분류,N4
毛,け,ke,뜻 자동 생성 필요,미분류,N4
予約,よやく,yoyaku,뜻 자동 생성 필요,미분류,N4
売り場,うりば,uriba,뜻 자동 생성 필요,미분류,N4
下げる,さげる,sageru,뜻 자동 생성 필요,미분류,N4
帰り,かえり,kaeri,뜻 자동 생성 필요,미분류,N4
久しぶり,ひさしぶり,hisashiburi,뜻 자동 생성 필요,미분류,N4
糸,いと,ito,뜻 자동 생성 필요,미분류,N4
集める,あつめる,atsumeru,뜻 자동 생성 필요,미분류,N4
水泳,すいえい,suiei,뜻 자동 생성 필요,미분류,N4
店員,てんいん,tenin,뜻 자동 생성 필요,미분류,N4
都合,つごう,tsugou,뜻 자동 생성 필요,미분류,N4
動物園,どうぶつえん,doubutsuen,뜻 자동 생성 필요,미분류,N4
道具,どうぐ,dougu,뜻 자동 생성 필요,미분류,N4
日記,にっき,nikki,뜻 자동 생성 필요,미분류,N4
背中,せなか,senaka,뜻 자동 생성 필요,미분류,N4
両方,りょうほう,ryouhou,뜻 자동 생성 필요,미분류,N4
具合,ぐあい,guai,뜻 자동 생성 필요,미분류,N4
二階建て,にかいだて,nikaidate,뜻 자동 생성 필요,미분류,N4
湖,みずうみ,mizuumi,뜻 자동 생성 필요,미분류,N4
講義,こうぎ,kougi,뜻 자동 생성 필요,미분류,N4
合う,あう,au,뜻 자동 생성 필요,미분류,N4
西洋,せいよう,seiyou,뜻 자동 생성 필요,미분류,N4
展覧会,てんらんかい,tenrankai,뜻 자동 생성 필요,미분류,N4
内,うち,uchi,뜻 자동 생성 필요,미분류,N4
美しい,うつくしい,utsukushii,뜻 자동 생성 필요,미분류,N4
返事,へんじ,henji,뜻 자동 생성 필요,미분류,N4
踊り,おどり,odori,뜻 자동 생성 필요,미분류,N4
昼間,ひるま,hiruma,뜻 자동 생성 필요,미분류,N4
会議室,かいぎしつ,kaigishitsu,뜻 자동 생성 필요,미분류,N4
研究室,けんきゅうしつ,kenkyuushitsu,뜻 자동 생성 필요,미분류,N4
為,ため,tame,뜻 자동 생성 필요,미분류,N4
隅,すみ,sumi,뜻 자동 생성 필요,미분류,N4
細かい,こまかい,komakai,뜻 자동 생성 필요,미분류,N4
坂,さか,saka,뜻 자동 생성 필요,미분류,N4
場合,ばあい,baai,뜻 자동 생성 필요,미분류,N4
数学,すうがく,suugaku,뜻 자동 생성 필요,미분류,N4
祖父,そふ,sofu,뜻 자동 생성 필요,미분류,N4
着物,きもの,kimono,뜻 자동 생성 필요,미분류,N4
注射,ちゅうしゃ,chuusha,뜻 자동 생성 필요,미분류,N4
丁寧,ていねい,teinei,뜻 자동 생성 필요,미분류,N4
田舎,いなか,inaka,뜻 자동 생성 필요,미분류,N4
盗む,ぬすむ,nusumu,뜻 자동 생성 필요,미분류,N4
倍,ばい,bai,뜻 자동 생성 필요,미분류,N4
旅館,りょかん,ryokan,뜻 자동 생성 필요,미분류,N4
食料品,しょくりょうひん,shokuryouhin,뜻 자동 생성 필요,미분류,N4
屋上,おくじょう,okujou,뜻 자동 생성 필요,미분류,N4
火事,かじ,kaji,뜻 자동 생성 필요,미분류,N4
考える,かんがえる,kangaeru,뜻 자동 생성 필요,미분류,N4
講堂,こうどう,koudou,뜻 자동 생성 필요,미분류,N4
祖母,そぼ,sobo,뜻 자동 생성 필요,미분류,N4
地理,ちり,chiri,뜻 자동 생성 필요,미분류,N4
倒れる,たおれる,taoreru,뜻 자동 생성 필요,미분류,N4
特急,とっきゅう,tokkyuu,뜻 자동 생성 필요,미분류,N4
布団,ふとん,futon,뜻 자동 생성 필요,미분류,N4
落ちる,おちる,ochiru,뜻 자동 생성 필요,미분류,N4
辞典,じてん,jiten,뜻 자동 생성 필요,미분류,N4
下着,したぎ,shitagi,뜻 자동 생성 필요,미분류,N4
苦い,にがい,nigai,뜻 자동 생성 필요,미분류,N4
大分,だいぶ,daibu,뜻 자동 생성 필요,미분류,N4
棚,たな,tana,뜻 자동 생성 필요,미분류,N4
留守,るす,rusu,뜻 자동 생성 필요,미분류,N4
引き出し,ひきだし,hikidashi,뜻 자동 생성 필요,미분류,N4
見つかる,みつかる,mitsukaru,뜻 자동 생성 필요,미분류,N4
以上,いじょう,ijou,뜻 자동 생성 필요,미분류,N4
花見,はなみ,hanami,뜻 자동 생성 필요,미분류,N4
絹,きぬ,kinu,뜻 자동 생성 필요,미분류,N4
消しゴム,けしごむ,keshigomu,뜻 자동 생성 필요,미분류,N4
畳,たたみ,tatami,뜻 자동 생성 필요,미분류,N4
飾る,かざる,kazaru,뜻 자동 생성 필요,미분류,N4
退院,たいいん,taiin,뜻 자동 생성 필요,미분류,N4
暮れる,くれる,kureru,뜻 자동 생성 필요,미분류,N4
冷房,れいぼう,reibou,뜻 자동 생성 필요,미분류,N4
起こす,おこす,okosu,뜻 자동 생성 필요,미분류,N4
上がる,あがる,agaru,뜻 자동 생성 필요,미분류,N4
大体,だいたい,daitai,뜻 자동 생성 필요,미분류,N4
ご存知,ごぞんじ,gozonji,뜻 자동 생성 필요,미분류,N4
景色,けしき,keshiki,뜻 자동 생성 필요,미분류,N4
見物,けんぶつ,kenbutsu,뜻 자동 생성 필요,미분류,N4
指輪,ゆびわ,yubiwa,뜻 자동 생성 필요,미분류,N4
赤ん坊,あかんぼう,akanbou,뜻 자동 생성 필요,미분류,N4
騒ぐ,さわぐ,sawagu,뜻 자동 생성 필요,미분류,N4
通る,とおる,tooru,뜻 자동 생성 필요,미분류,N4
漬ける,つける,tsukeru,뜻 자동 생성 필요,미분류,N4
電報,でんぽう,denpou,뜻 자동 생성 필요,미분류,N4
飛行場,ひこうじょう,hikoujou,뜻 자동 생성 필요,미분류,N4
品物,しなもの,shinamono,뜻 자동 생성 필요,미분류,N4
優しい,やさしい,yasashii,뜻 자동 생성 필요,미분류,N4
贈り物,おくりもの,okurimono,뜻 자동 생성 필요,미분류,N4
決まる,きまる,kimaru,뜻 자동 생성 필요,미분류,N4
一杯,いっぱい,ippai,뜻 자동 생성 필요,미분류,N4
喜ぶ,よろこぶ,yorokobu,뜻 자동 생성 필요,미분류,N4
高等学校,こうとうがっこう,koutougakkou,뜻 자동 생성 필요,미분류,N4
思い出す,おもいだす,omoidasu,뜻 자동 생성 필요,미분류,N4
親切,しんせつ,shinsetsu,뜻 자동 생성 필요,미분류,N4
暖房,だんぼう,danbou,뜻 자동 생성 필요,미분류,N4
逃げる,にげる,nigeru,뜻 자동 생성 필요,미분류,N4
変,へん,hen,뜻 자동 생성 필요,미분류,N4
又は,または,mataha,뜻 자동 생성 필요,미분류,N4
泥棒,どろぼう,dorobou,뜻 자동 생성 필요,미분류,N4
楽しむ,たのしむ,tanoshimu,뜻 자동 생성 필요,미분류,N4
見える,みえる,mieru,뜻 자동 생성 필요,미분류,N4
受ける,うける,ukeru,뜻 자동 생성 필요,미분류,N4
探す,さがす,sagasu,뜻 자동 생성 필요,미분류,N4
下宿,げしゅく,geshuku,뜻 자동 생성 필요,미분류,N4
始める,はじめる,hajimeru,뜻 자동 생성 필요,미분류,N4
手袋,てぶくろ,tebukuro,뜻 자동 생성 필요,미분류,N4
申し上げる,もうしあげる,moushiageru,뜻 자동 생성 필요,미분류,N4
発音,はつおん,hatsuon,뜻 자동 생성 필요,미분류,N4
落とす,おとす,otosu,뜻 자동 생성 필요,미분류,N4
引っ越す,ひっこす,hikkosu,뜻 자동 생성 필요,미분류,N4
厳しい,きびしい,kibishii,뜻 자동 생성 필요,미분류,N4
今夜,こんや,konya,뜻 자동 생성 필요,미분류,N4
残る,のこる,nokoru,뜻 자동 생성 필요,미분류,N4
小鳥,ことり,kotori,뜻 자동 생성 필요,미분류,N4
昼休み,ひるやすみ,hiruyasumi,뜻 자동 생성 필요,미분류,N4
遠慮,えんりょ,enryo,뜻 자동 생성 필요,미분류,N4
壊す,こわす,kowasu,뜻 자동 생성 필요,미분류,N4
汽車,きしゃ,kisha,뜻 자동 생성 필요,미분류,N4
踏む,ふむ,fumu,뜻 자동 생성 필요,미분류,N4
怖い,こわい,kowai,뜻 자동 생성 필요,미분류,N4
乗り物,のりもの,norimono,뜻 자동 생성 필요,미분류,N4
家内,かない,kanai,뜻 자동 생성 필요,미분류,N4
間に合う,まにあう,maniau,뜻 자동 생성 필요,미분류,N4
急行,きゅうこう,kyuukou,뜻 자동 생성 필요,미분류,N4
集まる,あつまる,atsumaru,뜻 자동 생성 필요,미분류,N4
通う,かよう,kayou,뜻 자동 생성 필요,미분류,N4
怒る,おこる,okoru,뜻 자동 생성 필요,미분류,N4
柔らかい,やわらかい,yawarakai,뜻 자동 생성 필요,미분류,N4
お嬢さん,おじょうさん,ojousan,뜻 자동 생성 필요,미분류,N4
壊れる,こわれる,kowareru,뜻 자동 생성 필요,미분류,N4
申す,もうす,mousu,뜻 자동 생성 필요,미분류,N4
払う,はらう,harau,뜻 자동 생성 필요,미분류,N4
増える,ふえる,fueru,뜻 자동 생성 필요,미분류,N4
玩具,おもちゃ,omocha,뜻 자동 생성 필요,미분류,N4
急ぐ,いそぐ,isogu,뜻 자동 생성 필요,미분류,N4
決める,きめる,kimeru,뜻 자동 생성 필요,미분류,N4
笑う,わらう,warau,뜻 자동 생성 필요,미분류,N4
不便,ふべん,fuben,뜻 자동 생성 필요,미분류,N4
文法,ぶんぽう,bunpou,뜻 자동 생성 필요,미분류,N4
木綿,もめん,momen,뜻 자동 생성 필요,미분류,N4
深い,ふかい,fukai,뜻 자동 생성 필요,미분류,N4
沸かす,わかす,wakasu,뜻 자동 생성 필요,미분류,N4
役に立つ,やくにたつ,yakunitatsu,뜻 자동 생성 필요,미분류,N4
乗り換える,のりかえる,norikaeru,뜻 자동 생성 필요,미분류,N4
引き出す,ひきだす,hikidasu,뜻 자동 생성 필요,미분류,N4
向かう,むかう,mukau,뜻 자동 생성 필요,미분류,N4
別れる,わかれる,wakareru,뜻 자동 생성 필요,미분류,N4
下がる,さがる,sagaru,뜻 자동 생성 필요,미분류,N4
迎える,むかえる,mukaeru,뜻 자동 생성 필요,미분류,N4
進む,すすむ,susumu,뜻 자동 생성 필요,미분류,N4
正しい,ただしい,tadashii,뜻 자동 생성 필요,미분류,N4
大抵,たいてい,taitei,뜻 자동 생성 필요,미분류,N4
致す,いたす,itasu,뜻 자동 생성 필요,미분류,N4
電灯,でんとう,dentou,뜻 자동 생성 필요,미분류,N4
冷える,ひえる,hieru,뜻 자동 생성 필요,미분류,N4
写す,うつす,utsusu,뜻 자동 생성 필요,미분류,N4
用事,ようじ,youji,뜻 자동 생성 필요,미분류,N4
聞こえる,きこえる,kikoeru,뜻 자동 생성 필요,미분류,N4
以外,いがい,igai,뜻 자동 생성 필요,미분류,N4
治る,なおる,naoru,뜻 자동 생성 필요,미분류,N4
尋ねる,たずねる,tazuneru,뜻 자동 생성 필요,미분류,N4
塗る,ぬる,nuru,뜻 자동 생성 필요,미분류,N4
光る,ひかる,hikaru,뜻 자동 생성 필요,미분류,N4
勝つ,かつ,katsu,뜻 자동 생성 필요,미분류,N4
恥ずかしい,はずかしい,hazukashii,뜻 자동 생성 필요,미분류,N4
滑る,すべる,suberu,뜻 자동 생성 필요,미분류,N4
似る,にる,niru,뜻 자동 생성 필요,미분류,N4
泊まる,とまる,tomaru,뜻 자동 생성 필요,미분류,N4
負ける,まける,makeru,뜻 자동 생성 필요,미분류,N4
眠い,ねむい,nemui,뜻 자동 생성 필요,미분류,N4
間違える,まちがえる,machigaeru,뜻 자동 생성 필요,미분류,N4
拝見,はいけん,haiken,뜻 자동 생성 필요,미분류,N4
差し上げる,さしあげる,sashiageru,뜻 자동 생성 필요,미분류,N4
歯医者,はいしゃ,haisha,뜻 자동 생성 필요,미분류,N4
謝る,あやまる,ayamaru,뜻 자동 생성 필요,미분류,N4
味噌,みそ,miso,뜻 자동 생성 필요,미분류,N4
珍しい,めずらしい,mezurashii,뜻 자동 생성 필요,미분류,N4
忘れ物,わすれもの,wasuremono,뜻 자동 생성 필요,미분류,N4
寂しい,さびしい,sabishii,뜻 자동 생성 필요,미분류,N4
過ぎる,すぎる,sugiru,뜻 자동 생성 필요,미분류,N4
変える,かえる,kaeru,뜻 자동 생성 필요,미분류,N4
参る,まいる,mairu,뜻 자동 생성 필요,미분류,N4
釣る,つる,tsuru,뜻 자동 생성 필요,미분류,N4
悲しい,かなしい,kanashii,뜻 자동 생성 필요,미분류,N4
捕まえる,つかまえる,tsukamaeru,뜻 자동 생성 필요,미분류,N4
積もり,つもり,tsumori,뜻 자동 생성 필요,미분류,N4
触る,さわる,sawaru,뜻 자동 생성 필요,미분류,N4
予習,よしゅう,yoshuu,뜻 자동 생성 필요,미분류,N4
折る,おる,oru,뜻 자동 생성 필요,미분류,N4
復習,ふくしゅう,fukushuu,뜻 자동 생성 필요,미분류,N4
片付ける,かたづける,katazukeru,뜻 자동 생성 필요,미분류,N4
見つける,みつける,mitsukeru,뜻 자동 생성 필요,미분류,N4
移る,うつる,utsuru,뜻 자동 생성 필요,미분류,N4
済む,すむ,sumu,뜻 자동 생성 필요,미분류,N4
直す,なおす,naosu,뜻 자동 생성 필요,미분류,N4
拾う,ひろう,hirou,뜻 자동 생성 필요,미분류,N4
眠る,ねむる,nemuru,뜻 자동 생성 필요,미분류,N4
褒める,ほめる,homeru,뜻 자동 생성 필요,미분류,N4
足す,たす,tasu,뜻 자동 생성 필요,미분류,N4
足りる,たりる,tariru,뜻 자동 생성 필요,미분류,N4
濡れる,ぬれる,nureru,뜻 자동 생성 필요,미분류,N4
鳴る,なる,naru,뜻 자동 생성 필요,미분류,N4
降り出す,ふりだす,furidasu,뜻 자동 생성 필요,미분류,N4
調べる,しらべる,shiraberu,뜻 자동 생성 필요,미분류,N4
筈,はず,hazu,뜻 자동 생성 필요,미분류,N4
慣れる,なれる,nareru,뜻 자동 생성 필요,미분류,N4
億,おく,oku,뜻 자동 생성 필요,미분류,N4
投げる,なげる,nageru,뜻 자동 생성 필요,미분류,N4
戻る,もどる,modoru,뜻 자동 생성 필요,미분류,N4
寄る,よる,yoru,뜻 자동 생성 필요,미분류,N4
召し上がる,めしあがる,meshiagaru,뜻 자동 생성 필요,미분류,N4
植える,うえる,ueru,뜻 자동 생성 필요,미분류,N4
浅い,あさい,asai,뜻 자동 생성 필요,미분류,N4
太る,ふとる,futoru,뜻 자동 생성 필요,미분류,N4
祈る,いのる,inoru,뜻 자동 생성 필요,미분류,N4
捨てる,すてる,suteru,뜻 자동 생성 필요,미분류,N4
手伝う,てつだう,tetsudau,뜻 자동 생성 필요,미분류,N4
葡萄,ぶどう,budou,뜻 자동 생성 필요,미분류,N4
込む,こむ,komu,뜻 자동 생성 필요,미분류,N4
回る,まわる,mawaru,뜻 자동 생성 필요,미분류,N4
遅れる,おくれる,okureru,뜻 자동 생성 필요,미분류,N4
アナウンサー,あなうんさー,anaunsa,뜻 자동 생성 필요,미분류,N4
